ID;Sustantivo;Autor;Cita;Forma;Siglo;Texto;Caso;Número;Preposición;Adjetivo Núcleo;Participio;Verbo;Colocación
2;timor;A. Hircio;Gall. 8, 16, 3, 1;prosa;s. I a. C.;ita fuga timoris simul calliditatisque plena sine ullo detrimento milia non amplius decem progressi hostes loco munitissimo castra posuerunt. ;genitivo;singular;;plenus;NO;progredior;SÍ
8;laetitia;Afranio;com. 16;verso;s. II a. C.;Équidem nunc resipíui, postquam péctus est laetítia onustum.;ablativo;Singular;;onustus;SÍ;onero;SÍ
14;invidia;Appendix Vergiliana;Culex 64;verso;s. I d. C.;"sub laqueare domus animum non angit auarum picturaeque decus, lapidum nec fulgor in ulla cognitus utilitate manet, nec pocula gratum Alconis referent Boethique toreuma, nec Indi conchea baca maris pretio est, at pectore puro saepe super tenero prosternit gramine corpus, florida cum tellus, gemmantis picta per herbas, uere notat dulci distincta coloribus arua; atque illum calamo laetum recinente palustri otiaque inuidia degentem et fraude remota pollentemque sibi uiridi cum palmite lucens Tmolia pampineo subter coma uelat amictu. ";ablativo;Singular;;degens;SÍ;dego;SÍ
18;invidia;Apuleyo;met. 4, 34, 16;prosa;s. II d. C.;Haec erunt uobis egregiae formonsitatis meae praeclara praemia. Inuidiae nefariae letali plaga percussi sero sentitis. ;genitivo;singular;;percussus;SÍ;sentio;SÍ
26;gaudium;Apuleyo;met. 1, 17, 11;prosa;s. II d. C.;Emergo laetus atque alacer insperato gaudio perfusus et: ÒEcce, ianitor fidelissime, comes [et pater meus] et frater meus, quem nocte ebrius occisum a me calumniabarisÓ, et cum dicto Socraten deosculabar amplexus.;ablativo;Singular;;alacer;NO;perfundo;SÍ
27;gaudium;Apuleyo;met. 9, 19, 18;prosa;s. II d. C.;Ita gaudio perfusus aduolat ad suae fidei praecipitium Myrmex, non modo capere uerum saltem contingere quam exitio suo uiderat pecuniam cupiens, et magnis suis laboribus perfectum desiderium Philesithero laetitia percitus nuntiat statimque destinatum praemium reposcit, et tenet nummos aureos manus Myrmecis, quae nec aereos norat.;ablativo;Singular;;perfusus;SÍ;perfundo;SÍ
33;invidia;Apuleyo;met. 5, 9, 2;prosa;s. II d. C.;Quo protenus perpetrato sorores egregiae domum redeuntes iamque gliscentis inuidiae felle fraglantes multa secum sermonibus mutuis perstrepebant. ;genitivo;singular;;gliscens;SÍ;glisco;SÍ
34;invidia;Apuleyo;met. 5, 9, 2;prosa;s. II d. C.;Quo protenus perpetrato sorores egregiae domum redeuntes iamque gliscentis inuidiae felle fraglantes multa secum sermonibus mutuis perstrepebant. ;genitivo;singular;;gliscens;SÍ;fragro;SÍ
35;gaudium;Apuleyo;met. 11, 18, 8;prosa;s. II d. C.;Confestim denique familiares ac uernulae quique mihi proximo nexu sanguinis cohaerebant, luctu deposito, quem de meae mortis falso nuntio susceperant, repentino laetati gaudio uarie quisque munerabundi ad meum festinant ilico diurnum reducemque ab inferis conspectum.;ablativo;Singular;;laetatus;SÍ;festino;SÍ
37;gaudium;Apuleyo;met. 11, 7, 3;prosa;s. II d. C.;Nec mora, cum somno protinus absolutus pauore et gaudio ac dein sudore nimio permixtus exurgo summeque miratus deae potentis tam claram praesentiam, marino rore respersus magnisque imperiis eius intentus monitionis ordinem recolebam.;ablativo;Singular;;absolutus;SÍ;exsurgo;SÍ
39;timor;Apuleyo;met. 5, 22, 14;prosa;s. II d. C.;"At uero Psyche tanto aspectu deterrita et impos animi marcido pallore defecta tremensque desedit in imos poplites et ferrum quaerit abscondere, sed in suo pectore; quod profecto fecisset, nisi ferrum timore tanti flagitii manibus temerariis delapsum euolasset. ";ablativo;singular;;delapsus;SÍ;evolo;SÍ
42;odium;Apuleyo;met. 4.21.6;prosa;s. II d. C.;Confestim itaque constrictis sarcinis illis, quas nobis seruauerant fideles mortui, Plataeae terminos concito gradu deserentes istud apud nostros animos identidem reputabamus merito nullam fidem in uita nostra repperiri, quod admanis iam et mortuos odio perfidiae nostrae demigrarit;ablativo;Singular;;mortuus;SÍ;demigro;SÍ
43;gaudium;Apuleyo;met. 10, 17, 2;prosa;s. II d. C.;Magno denique delibutus gaudio dominus, uocatis seruis suis, emptoribus meis, iubet quadruplum restitui pretium meque cuidam acceptissimo liberto suo et satis peculiato magnam praefatus diligentiam tradidit.;ablativo;Singular;;delibutus;SÍ;delibuo;SÍ
44;gaudium;Apuleyo;met. 11, 17, 14;prosa;s. II d. C.;Exin gaudio delibuti populares thallos uerbenas corollas ferentes exosculatis uestigiis deae, quae gradibus haerebat argento formata, ad suos discedunt lares. ;ablativo;Singular;;delibutus;SÍ;delibuo;SÍ
45;gaudium;Apuleyo;met. 7, 13, 3;prosa;s. II d. C.;Procurrunt parentes, affines, clientes, alumni, famuli laeti faciem, gaudio delibuti.;ablativo;Singular;;delibutus;SÍ;delibuo;SÍ
48;gaudium;Apuleyo;met. 11, 12, 9;prosa;s. II d. C.;Nec tamen gaudio subitario commotus inclementi me cursu proripui, uerens scilicet ne repentino quadripedis impetu religionis quietus turbaretur ordo, sed placido ac prorsus humano gradu cunctabundus paulatim obliquato corpore, sane diuinitus decedente populo, sensim inrepo.;ablativo;Singular;;commotus;SÍ;commoveo;SÍ
53;gaudium;Apuleyo;met. 6, 28, 22;prosa;s. II d. C.;Iam primum iubam istam tuam probe pectinatam meis uirginalibus monilibus adornabo, frontem uero crispatam prius decoriter discriminabo caudaeque setas incuria lauacri congestas et horridas prompta diligentia perpolibo bullisque te multis aureis inoculatum ueluti stellis sidereis relucentem et gaudiis popularium pomparum ouantem, sinu serico progestans nucleos <et> edulia mitiora, te meum sospitatorem cotidie saginabo.;ablativo;Plural;;ovans;SÍ;;SÍ
55;laetitia;Apuleyo ;Met. 9, 19, 22;prosa;s. II d. C.;Ita gaudio perfusus aduolat ad suae fidei / praecipitium Myrmex, non modo capere uerum saltem / contingere quam exitio suo uiderat pecuniam cupiens, / et magnis suis laboribus perfectum desiderium Phile/ sithero laetitia percitus nuntiat statimque destinatum / praemium reposcit, et tenet nummos aureos manus / Myrmecis, quae nec aereos norat.;ablativo;Singular;;perfusus;SÍ;percito;SÍ
56;laetitia;Apuleyo ;Met. 3, 10, 1;prosa;s. II d. C.;Et certe laetitia delibuti meque respectantes cuncti theatro facessunt.;ablativo;Singular;;delibutus;SÍ;facesso;SÍ
57;laetitia;Aulo Gelio;6, 3, 14, 9;prosa;s. II d. C.;Aduorsae res edomant et docent, quid / opus siet facto, secundae res laetitia transuorsum trudere / solent a recte consulendo atque intellegendo.;ablativo;Singular;;transversus;SÍ;trudeo;SÍ
61;invidia;Aulo Gelio;Noctes Atticae 7, 16, 11, 3;prosa;s. II d. C.;"Cicero in libro sexto de republica ita scripsit: íQuod quidem eo fuit maius, quia, cum causa pari collegae essent, non modo inuidia pari non erant, sed etiam Claudi inuidiam Gracchi caritas deprecabaturí; hic quoque item non est íualde precabaturí, sed quasi propulsabat inuidiam et defensabat inuidiam, quod Graeci propinqua significatione παραιτεῖσθαι dicunt. ";ablativo;singular;;par;NO;sum;NO
71;gaudium;Aulo Gelio;Noctes Atticae 3, 15, 4, 7;prosa;s. II d. C.;"Praeterea in nostris annalibus scriptum legimus, qua tempestate apud Cannas exercitus populi Romani caesus est, anum matrem nuntio de morte filii adlato luctu atque maerore affectam esse; sed is nuntius non uerus fuit, atque is adulescens non diu post ex ea pugna in urbem redit: anus repente filio uiso copia atque turba et quasi ruina incidentis inopinati gaudii oppressa exanimataque est.";genitivo;singular;;oppressus;SÍ;exanimo;SÍ
78;laetitia;Aulo Gelio;6, 3, 12, 4;prosa;s. II d. C.;Culpauit autem primum hoc, quod Cato íinerudite et / ἀναγώγωςí, ut ipse ait, principio nimis insolenti nimisque / acri et obiurgatorio usus sit, cum uereri sese ostendit, ne / patres gaudio atque laetitia rerum prospere gestarum de / statu mentis suae deturbati non satis consiperent neque ad / recte intellegendum consulendumque essent idonei.;ablativo;Singular;;deturbatus;SÍ;consipio;SÍ
79;gaudium;Aulo Gelio;Noctes Atticae 6, 3, 12, 4;prosa;s. II d. C.;Culpauit autem primum hoc, quod Cato íinerudite et ________í, ut ipse ait, principio nimis insolenti nimisque acri et obiurgatorio usus sit, cum uereri sese ostendit, ne patres gaudio atque laetitia rerum prospere gestarum de statu mentis suae deturbati non satis consiperent neque ad recte intellegendum consulendumque essent idonei.;ablativo;singular;;deturbatus;SÍ;consipio;SÍ
80;odium;Aulo Gelio;12.8.5;prosa;s. II d. C.;Aemilius quoque Lepidus et Fuluius Flaccus nobili genere amplissimisque honoribus et summo loco in ciuitate praediti odio inter sese graui et simultate diutina conflictati sunt;ablativo;Singular;;praeditus;SÍ;conflicto;SÍ
82;odium;Aulo Gelio;1.15.pr;prosa;s. II d. C.;Quam inportunum uitium plenumque odii sit futtilis inanisque loquacitas et quam multis in locis a principibus utriusque linguae uiris detestatione iusta culpata sit.;genitivo;Singular;;plenus;NO;sum;SÍ
83;odium;Aulo Gelio;12.1.9;prosa;s. II d. C.;Quod cum sit publica detestatione communique odio dignum in ipsis hominem primordiis, dum fingitur, dum animatur, inter ipsas artificis naturae manus interfectum ire, quantulum hinc abest iam perfectum, iam genitum, iam filium proprii atque consueti atque cogniti sanguinis alimonia priuare?;dativo;Singular;;dignus;NO;sum;SÍ
86;odium;Aulo Gelio;pr.1.15;prosa;s. II d. C.;XV Quam inportunum uitium plenumque odii sit futtilis inanisque loquacitas et quam multis in locis a principibus utriusque linguae uiris detestatione iusta culpata sit.;genitivo;Singular;;plenus;NO;;SÍ
87;laetitia;Bellum Africum;34,6,1;prosa;s. I a. C.;ita Caesar duplici laetitia ac voluptate uno tempore auctus, frumento auxiliisque, tandem suis hilaratis annonaque levata sollicitudinem deponit, legiones equitesque ex navibus egressos iubet ex languore nauseaque reficere, dimissos in castella munitionesque disponit.;ablativo;Singular;;auctus;SÍ;augeo;SÍ
91;odium;Bellum Alexandrinum ;48,1;prosa;s. I a.C.;Iis autem temporibus quibus Caesar ad Dyrrachium Pompeium obsidebat et Palaepharsali rem feliciter gerebat Alexandriaeque cum periculo magno, tum etiam maiore periculi fama dimicabat, Q. Cassius Longinus in Hispania pro praetore provinciae ulterioris optinendae causa relictus, sive consuetudine naturae suae sive odio quod in illam provinciam susceperat quaestor ex insidiis ibi vulneratus, magnas odii sui fecerat accessiones, quod vel ex conscientia sua, cum de se mutuo sentire provinciam crederet, vel multis signis et testimoniis eorum qui difficulter odia dissimulabant, animum advertere poterat, et compensare offensionem provinciae exercitus amore cupiebat;ablativo;Singular;;vulneratus;SÍ;vulnero;SÍ
93;laetitia;Bellum Hispaniense;40, 1, 2;prosa;s. I a. C.;Interfecto Cn. Pompeio adulescente Didius quem supra demonstravimus, illa adfectus laetitia proximo se recepit castello nonnullasque naves ad reficiendum subduxit et quodvis essent .;ablativo;Singular;;adfectus;SÍ;afficio;SÍ
94;laetitia;Caecilius Statius ;com. 252 ;verso;s. II a. C.;Omnibus laetítiis laetus íncedo. ;ablativo;Plural;;laetus;NO;incedo;SÍ
98;laetitia;Catón el Viejo;orat. 163,8 ;prosa;s. II a. C.;advorsae res edomant et docent, quid opus siet facto, secundae res laetitia transvorsum trudere solent a recte consulendo atque intellegendo. ;ablativo;Singular;;transversus;SÍ;trudo;SÍ
110;laetitia;César;Civ. 1, 74, 7, 1;prosa;s. I a.C.;erant plena laetitia et gratulatione / omnia et eorum qui tanta pericula vitasse, et eorum / qui sine volnere tantas res confecisse videbantur, ma/ gnumque fructum suae pristinae lenitatis omnium iu/ dicio Caesar ferebat, consiliumque eius a cunctis pro/ babatur.;ablativo;Singular;;plenus;NO;sum;SÍ
115;timor;César;civ. 3, 36, 5, 1;prosa;s. I a. C.;tum timore perterritus Cassius cognito Scipionis adventu visisque equitibus, quos Scipionis esse arbitrabatur, ad montes se convertit, qui Thessaliam cingunt, atque ex his locis Ambraciam versus iter facere coepit. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
116;timor;César;Gall. 1, 22, 4, 3;prosa;s. I a. C.;multo denique die per exploratores Caesar cognovit et montem ab suis teneri et Helvetios castra movisse et Considium timore perterritum, quod non vidisset, pro viso sibi renuntiavisse. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
117;timor;César;Gall. 1, 23, 3, 1;prosa;s. I a. C.;Helvetii seu quod timore perterritos Romanos discedere a se existimarent, eo magis quod pridie superioribus locis occupatis proelium non commisissent, sive eo quod re frumentaria intercludi posse confiderent, commutato consilio atque itinere converso nostros a novissimo agmine insequi ac lacessere coeperunt. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
